City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Khatanga,RU,71.9667,102.5,-15.81,96,100,11.88,overcast clouds
198,Olga,RU,43.7444,135.2892,29.23,82,10,6.82,clear sky
199,Klaksvik,FO,62.2266,-6.589,32.92,57,45,6.11,scattered clouds
200,Mahebourg,MU,-20.4081,57.7,79.25,73,40,8.05,scattered clouds
201,Iqaluit,CA,63.7506,-68.5145,10.13,66,90,25.01,overcast clouds
202,Bonavista,CA,48.6499,-53.1147,34.12,59,97,15.21,overcast clouds
203,Itanhaem,BR,-24.1831,-46.7889,86.25,81,100,8.46,overcast clouds
204,Matara,LK,5.9485,80.5353,76.03,92,100,2.66,moderate rain
205,Kimberley,ZA,-28.7323,24.7623,62.29,88,100,10.36,overcast clouds
206,Batagay,RU,67.6333,134.6333,-18.83,98,100,0.74,overcast clouds
207,Mikhaylovka,RU,50.06,43.2379,28.71,95,20,7.96,few clouds
208,Taoudenni,ML,22.6783,-3.9836,65.37,17,100,10.09,overcast clouds
209,Basoko,CD,1.2391,23.616,72.54,96,100,3.69,overcast clouds
210,Colares,PT,38.7992,-9.4469,55.89,73,40,1.01,scattered clouds
211,Derzhavinsk,KZ,51.1,66.3167,13.41,85,21,6.4,few clouds
212,Springdale,US,36.1867,-94.1288,71.19,59,1,20.0,clear sky
213,Achalpur,IN,21.2572,77.5086,68.72,51,0,4.38,clear sky
214,Fria,GN,10.4167,-13.5833,80.22,55,88,5.37,overcast clouds
215,Nakhon Si Thammarat,TH,8.25,100.0,77.05,86,100,5.41,overcast clouds
216,Kaitangata,NZ,-46.2817,169.8464,50.94,59,100,4.88,overcast clouds
217,Qaanaaq,GL,77.484,-69.3632,19.45,73,100,6.29,overcast clouds
218,Mbeya,TZ,-8.9,33.45,65.21,68,100,4.83,overcast clouds
219,Diamantina,BR,-18.2494,-43.6003,73.42,61,57,6.76,broken clouds
220,Tautira,PF,-17.7333,-149.15,84.22,70,32,17.72,scattered clouds
221,Grants,US,35.1473,-107.8514,55.63,26,1,4.61,clear sky
222,Charters Towers,AU,-20.1,146.2667,72.86,77,0,8.88,clear sky
223,Ancud,CL,-41.8697,-73.8203,74.73,58,8,6.98,clear sky
224,Mount Gambier,AU,-37.8333,140.7667,44.51,100,100,0.0,overcast clouds
225,Ugoofaaru,MV,5.6667,73.0,82.31,75,100,9.75,overcast clouds
226,Murom,RU,55.5656,42.0417,27.19,91,99,1.21,overcast clouds
227,Koeru,EE,58.9631,26.0308,7.12,83,15,7.85,few clouds
228,San Carlos De Bariloche,AR,-41.1456,-71.3082,83.95,10,20,5.75,few clouds
229,Pocone,BR,-16.2567,-56.6228,86.72,69,100,5.46,overcast clouds
230,Tateyama,JP,34.9833,139.8667,48.22,73,100,12.06,overcast clouds
231,Namikupa,TZ,-10.8333,39.6,71.91,95,99,3.2,light rain
232,Dikson,RU,73.5069,80.5464,2.28,94,100,8.66,overcast clouds
233,Baft,IR,29.234,56.6057,45.75,27,10,2.28,clear sky
234,Taguatinga,BR,-12.3857,-46.5711,83.68,60,44,0.92,scattered clouds
235,Yeppoon,AU,-23.1333,150.7333,73.18,70,95,14.79,overcast clouds
236,Muros,ES,42.7762,-9.0603,54.23,92,57,9.42,broken clouds
237,Honningsvag,NO,70.9821,25.9704,29.95,64,40,10.36,scattered clouds
238,Lata,PT,40.1629,-8.3327,53.82,91,31,7.02,scattered clouds
239,Enterprise,US,36.0252,-115.2419,72.59,21,20,3.0,few clouds
240,College,US,64.8569,-147.8028,-0.35,78,75,0.0,broken clouds
241,Dunedin,NZ,-45.8742,170.5036,54.81,66,100,3.0,overcast clouds
242,Hamilton,US,39.1834,-84.5333,56.71,59,1,3.0,clear sky
243,Buchanan,LR,5.8808,-10.0467,75.16,80,69,6.8,light rain
244,Tara,RU,56.8944,74.371,30.38,97,100,11.03,light snow
245,Orlik,RU,52.5178,99.825,0.77,89,95,3.18,overcast clouds
246,Beroroha,MG,-21.6667,45.1667,82.36,49,2,2.98,clear sky
247,San Cristobal,VE,7.7669,-72.225,82.58,42,49,6.73,scattered clouds
248,Shimoda,JP,34.6667,138.95,48.11,83,100,15.64,overcast clouds
249,Offa,NG,8.15,4.7167,79.63,29,11,2.86,few clouds
250,Kapit,MY,2.0167,112.9333,73.54,100,100,1.3,overcast clouds
251,Hastings,GB,50.8552,0.5729,43.81,80,45,22.46,scattered clouds
252,Pandan,PH,14.0453,124.1694,76.12,81,95,14.14,overcast clouds
253,Solana Beach,US,32.9912,-117.2711,75.67,75,1,1.01,haze
254,Esperance,AU,-33.8667,121.9,60.39,80,56,9.73,broken clouds
255,Talnakh,RU,69.4865,88.3972,-21.8,99,100,13.78,snow
256,Maragogi,BR,-9.0122,-35.2225,79.84,80,63,10.47,broken clouds
257,Nanortalik,GL,60.1432,-45.2371,28.36,61,78,25.3,light snow
258,Dasoguz,TM,41.8363,59.9666,30.31,80,0,9.22,clear sky
259,Ust-Kulom,RU,61.6864,53.6902,-6.05,96,55,5.55,broken clouds
260,Tagusao,PH,9.1924,117.8141,77.83,78,14,4.97,few clouds
261,Qandala,SO,11.472,49.8728,76.48,68,15,7.47,few clouds
262,Chingola,ZM,-12.529,27.8838,70.81,44,11,3.96,few clouds
263,Makakilo City,US,21.3469,-158.0858,71.35,85,90,0.0,overcast clouds
264,Sal Rei,CV,16.1833,-22.9167,73.96,78,75,16.11,broken clouds
265,Kahului,US,20.8947,-156.47,75.22,70,90,3.44,light rain
266,Fukue,JP,32.6881,128.8419,57.04,60,100,4.38,overcast clouds
267,Yarada,IN,17.65,83.2667,77.32,88,75,4.61,mist
268,Huanan,CN,46.2167,130.5167,27.91,90,100,6.02,overcast clouds
269,Oussouye,SN,12.485,-16.5469,80.78,45,96,6.26,overcast clouds
270,Yamada,JP,39.4667,141.95,36.0,76,5,6.49,clear sky
271,Alihe,CN,50.5667,123.7167,10.8,92,3,3.76,clear sky
272,Olinda,BR,-8.0089,-34.8553,82.13,83,75,6.91,broken clouds
273,Debre Birhan,ET,9.6833,39.5333,45.77,59,4,5.53,clear sky
274,Okato,NZ,-39.2,173.8833,65.43,96,100,15.97,light rain
275,Ponta Do Sol,PT,32.6667,-17.1,66.83,72,62,6.8,broken clouds
276,Sungairaya,ID,0.7,108.9,79.0,84,100,7.85,heavy intensity rain
277,Melekhovo,RU,56.2773,41.2935,17.13,92,100,5.95,light snow
278,Tucupita,VE,9.0622,-62.051,83.64,69,74,5.86,broken clouds
279,Ilulissat,GL,69.2167,-51.1,33.82,51,75,16.11,broken clouds
280,Xuddur,SO,4.1213,43.8894,77.27,42,66,3.18,broken clouds
281,Minudasht,IR,37.2289,55.3747,56.61,34,97,11.45,overcast clouds
282,Ous,RU,60.9058,61.5186,-0.53,96,100,3.6,light snow
283,Kadoma,JP,34.7333,135.5833,47.66,62,99,2.73,overcast clouds
284,Natal,BR,-5.795,-35.2094,86.65,66,20,11.5,few clouds
285,Touros,BR,-5.1989,-35.4608,86.9,70,79,16.98,broken clouds
286,Vilhena,BR,-12.7406,-60.1458,82.62,69,40,9.22,scattered clouds
287,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,75,21.85,broken clouds
288,La Spezia,IT,44.1105,9.8434,48.97,71,7,6.02,clear sky
289,Eureka,US,40.8021,-124.1637,50.94,93,100,8.16,overcast clouds
290,Narsaq,GL,60.9167,-46.05,28.62,83,100,6.89,overcast clouds
291,Kieta,PG,-6.2167,155.6333,78.76,85,100,3.87,light rain
292,Havre,FR,49.5833,0.3333,46.17,81,90,23.02,overcast clouds
293,Maneadero,MX,31.7167,-116.5667,61.11,82,0,1.99,clear sky
294,Katsuura,JP,35.1333,140.3,48.31,73,100,12.62,overcast clouds
295,Monrovia,LR,6.3005,-10.7969,74.97,79,100,8.05,light rain
296,Turkistan,KZ,43.0,68.0,42.75,62,100,3.65,overcast clouds
297,Seara,PT,41.1818,-7.8003,49.95,88,65,5.01,broken clouds
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,76,4,14.79,clear sky
299,Atar,MR,20.5169,-13.0499,76.21,14,100,10.85,overcast clouds
300,Walvis Bay,NA,-22.9575,14.5053,68.95,52,0,11.5,clear sky
301,Micheweni,TZ,-4.9667,39.8333,80.38,78,99,7.67,overcast clouds
302,Mount Pleasant,US,32.7941,-79.8626,74.1,70,1,5.99,clear sky
303,Bocaiuva,BR,-17.1078,-43.815,85.71,67,91,4.41,overcast clouds
304,Kuah,MY,6.3265,99.8432,76.98,78,20,3.44,few clouds
305,Poum,NC,-20.2333,164.0167,79.81,79,7,13.67,clear sky
306,Lao Cai,VN,22.4833,103.95,58.91,80,8,1.3,clear sky
307,Itarema,BR,-2.9248,-39.9167,84.83,68,15,20.18,few clouds
308,Jacareacanga,BR,-6.2222,-57.7528,82.13,79,98,3.78,moderate rain
309,Baruun-Urt,MN,46.6806,113.2792,18.77,76,1,7.18,clear sky
310,Santa Isabel,BR,-23.3156,-46.2214,82.11,53,86,10.11,overcast clouds
311,Ardabil,IR,38.2498,48.2933,44.42,39,100,10.89,overcast clouds
312,Namatanai,PG,-3.6667,152.4333,78.39,85,97,3.56,overcast clouds
313,Wundanyi,KE,-3.4019,38.364,63.63,81,99,4.7,light rain
314,Luangwa,ZM,-15.6167,30.4167,86.77,27,54,1.52,broken clouds
315,Ahipara,NZ,-35.1667,173.1667,68.07,90,54,8.39,broken clouds
316,Dawei,MM,14.0833,98.2,63.36,65,100,7.34,overcast clouds
317,Bathsheba,BB,13.2167,-59.5167,84.81,65,75,19.57,broken clouds
318,Tiksi,RU,71.6872,128.8694,-13.13,94,100,5.57,overcast clouds
